Date,Airlane,Flight_number,Last_words
  31 Jan 2000,Alaska Airlines, 261,Ah here we go.
  17 Jul 2000,Indian/Alliance         Airlines, 7412,Would like to do one 360 due to high on approach Sir.
 19 Jul 2000,Airwave Transport, 9807,What the #### is going on?
  25 Jul 2000,Air France, 4590,"Concorde 4590, you have flames, you have flames behind you."
  31 Oct 2000,Singapore Airlines,  006,#### something there.
 04 Jul 2001,Vladivostokavia, 352,That’s all guys! Fuck!
 11 Sep 2001,United Airlines, 93,"When they all come, we finish it off."
  12 Nov 2001,American Airlines, 587,What the hell are we into. We're stuck in it.
 08 Nov 2002,Richmor Aviation, -,Oh # what's that.
  22 Jun 2003,Brit Air,  5572,I have nothing in front of me.
 03 Jan 2004,Flash Air, 604,See what the aircraft did!
 27 Aug 2006,Comair, 5191,That's weird with no lights.
 27 Sep 2006 ,GOL Airlines, 1907,"Captain, what is happening"
 01 Jun 2009,Air France, 447,"Damn it, we're going to crash... This can't be happening!"
 17 JuL 2007,Tam, 3054,"Oh my god, oh my god"
 15 Jan 2009,US Airways, 1549,We're gonna be in the Hudson.
 12 Feb 2009,Continental Express, 3407,We're down.
 10 Apr 2010,Polish Air Force, 1549,F*ckkkkkk
